아파트,거래금액,전용면적,법정동,층,건축년도,거래년,거래월,거래일,아파트나이
금천롯데캐슬골드파크1차,100000,84.4417,독산동,4,2016,2024,1,21,10
금천현대,50000,59.82,독산동,6,2002,2024,1,27,24
e편한세상독산더타워,67800,59.8637,독산동,25,2019,2024,1,30,7
서초파레스,50000,79.7,독산동,1,2005,2024,1,26,21
관악산벽산타운5,51000,84.97,시흥동,10,2004,2024,1,26,22
금천롯데캐슬골드파크1차,105000,84.8114,독산동,16,2016,2024,1,26,10
산호시티빌,29500,41.58,시흥동,11,2003,2024,1,26,23
시흥동월드메르디앙,46000,59.88,시흥동,8,2006,2024,1,30,20
중앙아파트,20000,35.61,독산동,6,1989,2024,1,19,37
삼익,40000,59.9,시흥동,1,1999,2024,1,26,27
한신아파트,61500,89.46,독산동,6,1991,2024,1,23,35
이랜드해가든,72000,84.927,독산동,10,2008,2024,1,25,18
남서울힐스테이트,73500,59.817,시흥동,18,2014,2024,1,30,12
두산,64000,59.84,가산동,17,1998,2024,1,20,28
금천롯데캐슬골드파크3차,85500,59.968,독산동,21,2018,2024,1,24,8
금천롯데캐슬골드파크3차,84700,59.9672,독산동,19,2018,2024,1,13,8
시흥(817-29),26800,44.13,시흥동,1,1975,2024,1,25,51
독산주공14단지,32000,38.64,독산동,15,1990,2024,1,23,36
벽산,54000,114.84,시흥동,1,2000,2024,1,29,26
관악산벽산타운5,45000,59.34,시흥동,16,2004,2024,1,28,22
벽산,51500,84.99,시흥동,11,2000,2024,1,20,26
벽산,50000,84.99,시흥동,13,2000,2024,1,26,26
남서울힐스테이트,104500,115.801,시흥동,18,2014,2024,1,14,12
금천롯데캐슬골드파크1차,100000,84.4417,독산동,4,2016,2024,1,21,10
관악산벽산타운5,57900,84.97,시흥동,10,2004,2024,1,29,22
관악산벽산타운5,68000,114.84,시흥동,6,2004,2024,1,13,22
독산동한양수자인,70000,68.307,독산동,10,2011,2024,1,13,15
독산동중앙하이츠빌,65000,84.8768,독산동,9,2004,2024,1,18,22
금천롯데캐슬골드파크3차,85800,59.9662,독산동,29,2018,2024,1,5,8
금천현대,54500,59.82,독산동,17,2002,2024,1,9,24
한신아파트,61000,89.46,독산동,6,1991,2024,1,23,35
관악산벽산타운5,51900,84.97,시흥동,1,2004,2024,1,14,22
금천현대,49500,59.82,독산동,16,2002,2024,1,24,24
금천현대,50000,59.82,독산동,8,2002,2024,1,6,24
e편한세상독산더타워,70000,59.8637,독산동,17,2019,2024,1,5,7
관악산벽산타운5,44800,59.34,시흥동,6,2004,2024,1,18,22
무지개,48000,53.75,시흥동,2,1980,2024,1,2,46
벽산,50800,114.84,시흥동,1,2000,2024,1,18,26
중앙아파트,22000,35.61,독산동,3,1989,2024,1,18,37
관악산벽산타운5,42700,59.34,시흥동,19,2004,2024,1,2,22
벽산,53900,84.99,시흥동,18,2000,2024,1,9,26
관악산벽산타운5,39500,59.34,시흥동,1,2004,2024,1,6,22
두산,69500,84.9,가산동,19,1998,2024,1,6,28
신도브래뉴,78000,79.35,독산동,13,2002,2024,1,11,24
벽산,37800,59.94,시흥동,7,2000,2024,1,2,26
남서울건영2,42500,61.23,시흥동,4,1989,2024,2,29,37
무지개,47000,53.75,시흥동,9,1980,2024,2,20,46
장미아파트A동,38500,67.21,독산동,6,2000,2024,2,26,26
금천현대,63000,84.83,독산동,19,2002,2024,2,27,24
진도3차아파트,47800,59.34,독산동,13,1999,2024,2,17,27
관악산벽산타운5,59900,84.97,시흥동,9,2004,2024,2,24,22
e편한세상독산더타워,77000,74.9482,독산동,24,2019,2024,2,14,7
금강,43500,59.95,시흥동,11,2000,2024,2,15,26
e편한세상독산더타워,67800,59.8637,독산동,34,2019,2024,2,13,7
금강,59900,84.65,시흥동,8,2000,2024,2,22,26
남서울힐스테이트,99500,115.801,시흥동,12,2014,2024,2,17,12
금천현대,67000,84.83,독산동,10,2002,2024,2,13,24
벽산,50200,84.99,시흥동,10,2000,2024,2,28,26
e편한세상독산더타워,67500,59.6222,독산동,7,2019,2024,2,20,7
현대(209),45000,82.53,시흥동,5,1996,2024,2,26,30
e편한세상독산더타워,80000,74.9482,독산동,17,2019,2024,2,18,7
e편한세상독산더타워,66000,59.8637,독산동,7,2019,2024,2,8,7
현대(209),43000,82.53,시흥동,17,1996,2024,2,14,30
가산지웰에스테이트,8500,12.13,가산동,12,2013,2024,2,26,13
우방,45200,59.91,시흥동,10,2002,2024,2,25,24
관악산신도브래뉴,67000,84.8,시흥동,9,2006,2024,2,26,20
벽산,58800,114.84,시흥동,13,2000,2024,2,17,26
e편한세상독산더타워,73000,74.9482,독산동,26,2019,2024,2,14,7
비즈트위트바이올렛5차,9850,12.19,가산동,15,2014,2024,2,24,12
금천현대,50000,59.82,독산동,16,2002,2024,2,3,24
관악산벽산타운5,60000,84.97,시흥동,14,2004,2024,2,19,22
금천현대,53000,59.82,독산동,11,2002,2024,2,23,24
금천롯데캐슬골드파크1차,88000,71.39,독산동,2,2016,2024,2,6,10
무지개,48000,53.75,시흥동,6,1980,2024,2,22,46
두산,68500,84.9,가산동,7,1998,2024,2,21,28
두산,72000,84.9,가산동,9,1998,2024,2,14,28
독산동중앙하이츠빌,65500,84.8768,독산동,20,2004,2024,2,6,22
금천롯데캐슬골드파크3차,82200,59.9662,독산동,22,2018,2024,2,7,8
남서울힐스테이트,69500,59.973,시흥동,2,2014,2024,2,16,12
금천롯데캐슬골드파크1차,88000,59.9384,독산동,7,2016,2024,2,15,10
금천롯데캐슬골드파크1차,91600,59.9384,독산동,19,2016,2024,2,2,10
가산양우내안에애플,10500,12.04,가산동,8,2013,2024,2,14,13
관악산벽산타운5,52200,84.97,시흥동,1,2004,2024,2,7,22
현대(209),43000,82.53,시흥동,17,1996,2024,2,14,30
벽산,40800,59.94,시흥동,15,2000,2024,2,7,26
관악산벽산타운5,58500,84.97,시흥동,10,2004,2024,2,3,22
관악산벽산타운5,44000,59.34,시흥동,14,2004,2024,2,2,22
벽산3,51500,114.98,시흥동,8,1998,2024,3,26,28
금천현대,64700,84.83,독산동,13,2002,2024,3,27,24
금천롯데캐슬골드파크1차,98700,72.5195,독산동,14,2016,2024,3,27,10
금천롯데캐슬골드파크3차,84800,59.9662,독산동,26,2018,2024,3,22,8
금강,59000,84.65,시흥동,18,2000,2024,3,30,26
삼익,46000,59.9,시흥동,4,1999,2024,3,30,27
독산동중앙하이츠빌,68000,84.8768,독산동,13,2004,2024,3,19,22
남서울힐스테이트,88000,84.677,시흥동,8,2014,2024,3,20,12
금천롯데캐슬골드파크3차,83500,59.9672,독산동,34,2018,2024,3,26,8
관악산벽산타운5,56000,84.97,시흥동,9,2004,2024,3,14,22
삼익,42900,59.9,시흥동,18,1999,2024,3,20,27
금천롯데캐슬골드파크1차,91500,59.9384,독산동,10,2016,2024,3,27,10
벽산,40000,59.94,시흥동,12,2000,2024,3,25,26
